                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6667,                  4.214,                 1.4384,                0.00261,                0.11111,                0.05065,                0.04558,                 1.4693,                 4.0905,                 1.3913,              1.334e-05,              1.334e-05,              1.334e-05
                      2,                 1.5919,                 4.2578,                 1.4306,                0.00261,                0.11111,                0.07828,                0.07045,                 1.4187,                 4.0871,                 1.3628,             3.3317e-05,             3.3317e-05,             3.3317e-05
                      3,                 1.4081,                 4.0918,                 1.3258,                 0.0028,                0.11111,                0.11056,                 0.0995,                  1.363,                 4.0814,                 1.3283,             5.3152e-05,             5.3152e-05,             5.3152e-05
                      4,                  1.354,                 3.9918,                 1.2587,                0.00315,                0.11111,                0.11056,                0.10229,                  1.334,                 4.0841,                 1.3054,             7.2727e-05,             7.2727e-05,             7.2727e-05
                      5,                 1.3087,                 3.8863,                   1.27,                0.00339,                0.11111,                0.11056,                0.10229,                 1.2959,                  4.077,                 1.2837,             9.1928e-05,             9.1928e-05,             9.1928e-05
                      6,                 1.2566,                 3.7106,                 1.2071,                 0.0048,                0.13333,                0.11126,                0.10419,                 1.2478,                 4.0488,                 1.2567,             0.00011064,             0.00011064,             0.00011064
                      7,                 1.2518,                 3.5665,                 1.1861,                0.00585,                0.15556,                0.11232,                0.10088,                  1.245,                 4.0363,                 1.2403,             0.00012876,             0.00012876,             0.00012876
                      8,                 1.3171,                 3.3747,                 1.2808,                0.00631,                0.15556,                0.11261,                0.10125,                 1.2264,                 4.0144,                 1.2174,             0.00014618,             0.00014618,             0.00014618
                      9,                 1.1982,                 3.1614,                 1.2271,                0.00779,                0.17778,                 0.1157,                0.10311,                 1.1589,                 3.9714,                  1.183,              0.0001628,              0.0001628,              0.0001628
                     10,                 1.2568,                  3.005,                 1.2424,                0.01057,                0.22222,                 0.1254,                0.10766,                 1.1111,                 3.9219,                 1.1646,             0.00017852,             0.00017852,             0.00017852
                     11,                 1.3179,                 2.7378,                 1.2394,                0.01054,                0.22222,                0.15124,                0.12014,                  1.109,                 3.8464,                 1.1563,             0.00019326,             0.00019326,             0.00019326
                     12,                 1.1653,                 2.5002,                  1.193,                0.01432,                0.26667,                0.16805,                0.13012,                 1.0872,                 3.7511,                 1.1533,             0.00020693,             0.00020693,             0.00020693
                     13,                   1.25,                  2.304,                  1.188,                0.01796,                0.34444,                0.18881,                0.14416,                 1.0815,                 3.6008,                 1.1628,             0.00021946,             0.00021946,             0.00021946
                     14,                 1.2653,                   2.27,                 1.1919,                0.02518,                0.66667,                0.43866,                0.31882,                 1.1042,                 3.3826,                 1.2209,             0.00023077,             0.00023077,             0.00023077
                     15,                 1.2808,                 2.0508,                 1.2289,                0.02518,                0.66667,                0.43866,                0.31882,                 1.1042,                 3.3826,                 1.2209,             0.00024081,             0.00024081,             0.00024081
                     16,                 1.1867,                 1.9526,                 1.0965,                0.98753,                0.11111,                 0.5874,                0.41329,                 1.1591,                  3.106,                 1.3033,             0.00024952,             0.00024952,             0.00024952
                     17,                 1.1177,                 1.7297,                 1.2386,                0.98502,                0.11111,                0.67366,                 0.4675,                 1.1876,                 2.8498,                 1.3364,             0.00025687,             0.00025687,             0.00025687
                     18,                 1.1654,                 1.7223,                 1.2215,                0.98502,                0.11111,                0.67366,                 0.4675,                 1.1876,                 2.8498,                 1.3364,             0.00026282,             0.00026282,             0.00026282
                     19,                 1.1075,                 1.5492,                 1.1174,                0.95984,                0.30782,                0.67621,                0.46986,                 1.1922,                 2.5505,                 1.3407,             0.00026735,             0.00026735,             0.00026735
                     20,                 1.1652,                 1.6295,                 1.1853,                 0.8823,                0.42542,                0.73126,                0.48177,                 1.1757,                 2.3655,                 1.3364,             0.00027044,             0.00027044,             0.00027044
                     21,                 1.1261,                 1.5423,                  1.194,                 0.8823,                0.42542,                0.73126,                0.48177,                 1.1757,                 2.3655,                 1.3364,             0.00027209,             0.00027209,             0.00027209
                     22,                 1.1253,                 1.6327,                 1.1191,                0.86229,                0.50668,                0.76244,                0.49098,                 1.1931,                  2.208,                  1.344,             0.00027231,             0.00027231,             0.00027231
                     23,                 1.1563,                 1.5095,                 1.1759,                0.86229,                0.50668,                0.76244,                0.49098,                 1.1931,                  2.208,                  1.344,             0.00027112,             0.00027112,             0.00027112
                     24,                 1.0673,                 1.5695,                 1.1886,                0.85581,                0.49883,                0.82709,                0.51634,                 1.2303,                 2.0574,                 1.3613,             0.00026853,             0.00026853,             0.00026853
                     25,                 1.1551,                 1.4078,                 1.1217,                0.85581,                0.49883,                0.82709,                0.51634,                 1.2303,                 2.0574,                 1.3613,              0.0002646,              0.0002646,              0.0002646
                     26,                 1.0693,                  1.389,                 1.1049,                0.80831,                0.51111,                0.86636,                0.54664,                 1.2417,                 1.9003,                 1.3493,             0.00025936,             0.00025936,             0.00025936
                     27,                 1.1303,                 1.4031,                  1.155,                0.80831,                0.51111,                0.86636,                0.54664,                 1.2417,                 1.9003,                 1.3493,             0.00025288,             0.00025288,             0.00025288
