                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00217,                0.11111,                0.04853,                0.04368,                    nan,                    nan,                    nan,              3.335e-05,              3.335e-05,              3.335e-05
                      2,                    nan,                    nan,                    nan,                0.00202,                0.11111,                0.06078,                 0.0547,                    nan,                    nan,                    nan,             7.3298e-05,             7.3298e-05,             7.3298e-05
                      3,                    nan,                    nan,                    nan,                0.00193,                0.11111,                0.06078,                 0.0547,                    nan,                    nan,                    nan,             0.00011295,             0.00011295,             0.00011295
                      4,                    nan,                    nan,                    nan,                0.00192,                0.11111,                0.07443,                0.06699,                    nan,                    nan,                    nan,             0.00015206,             0.00015206,             0.00015206
                      5,                    nan,                    nan,                    nan,                0.00343,                0.13333,                0.08212,                0.07329,                    nan,                    nan,                    nan,             0.00019042,             0.00019042,             0.00019042
                      6,                    nan,                    nan,                    nan,                0.00471,                0.15556,                0.08677,                0.07388,                    nan,                    nan,                    nan,             0.00022779,             0.00022779,             0.00022779
                      7,                    nan,                    nan,                    nan,                 0.0022,                0.11111,                0.07352,                0.06226,                    nan,                    nan,                    nan,             0.00026396,             0.00026396,             0.00026396
                      8,                    nan,                    nan,                    nan,                 0.0022,                0.11111,                0.07352,                0.06226,                    nan,                    nan,                    nan,             0.00029872,             0.00029872,             0.00029872
                      9,                    nan,                    nan,                    nan,                0.00542,                0.17778,                0.07586,                0.06417,                    nan,                    nan,                    nan,             0.00033187,             0.00033187,             0.00033187
                     10,                    nan,                    nan,                    nan,                0.00671,                    0.2,                0.05529,                0.04597,                    nan,                    nan,                    nan,             0.00036321,             0.00036321,             0.00036321
                     11,                    nan,                    nan,                    nan,                0.00671,                    0.2,                0.05529,                0.04597,                    nan,                    nan,                    nan,             0.00039256,             0.00039256,             0.00039256
                     12,                    nan,                    nan,                    nan,                0.00607,                0.17778,                0.03464,                 0.0272,                    nan,                    nan,                    nan,             0.00041977,             0.00041977,             0.00041977
                     13,                    nan,                    nan,                    nan,                0.00607,                0.17778,                0.03464,                 0.0272,                    nan,                    nan,                    nan,             0.00044469,             0.00044469,             0.00044469
                     14,                    nan,                    nan,                    nan,                0.00607,                0.17778,                0.03464,                 0.0272,                    nan,                    nan,                    nan,             0.00046716,             0.00046716,             0.00046716
                     15,                    nan,                    nan,                    nan,                0.00611,                0.15556,                0.01362,                0.00934,                    nan,                    nan,                    nan,             0.00048709,             0.00048709,             0.00048709
                     16,                    nan,                    nan,                    nan,                0.00611,                0.15556,                0.01362,                0.00934,                    nan,                    nan,                    nan,             0.00050436,             0.00050436,             0.00050436
                     17,                    nan,                    nan,                    nan,                0.00613,                0.12778,                0.01161,                0.00657,                    nan,                    nan,                    nan,             0.00051375,             0.00051375,             0.00051375
                     18,                    nan,                    nan,                    nan,                0.00613,                0.12778,                0.01161,                0.00657,                    nan,                    nan,                    nan,             0.00051375,             0.00051375,             0.00051375
                     19,                    nan,                    nan,                    nan,                0.00613,                0.12778,                0.01161,                0.00657,                    nan,                    nan,                    nan,             0.00049589,             0.00049589,             0.00049589
                     20,                    nan,                    nan,                    nan,                0.00756,                   0.15,                0.01846,                0.00955,                    nan,                    nan,                    nan,             0.00047741,             0.00047741,             0.00047741
                     21,                    nan,                    nan,                    nan,                0.00756,                   0.15,                0.01846,                0.00955,                    nan,                    nan,                    nan,             0.00045838,             0.00045838,             0.00045838
                     22,                    nan,                    nan,                    nan,                0.00756,                   0.15,                0.01846,                0.00955,                    nan,                    nan,                    nan,             0.00043886,             0.00043886,             0.00043886
                     23,                    nan,                    nan,                    nan,                0.00404,                0.07222,                0.01222,                0.00426,                    nan,                    nan,                    nan,             0.00041894,             0.00041894,             0.00041894
                     24,                    nan,                    nan,                    nan,                0.00404,                0.07222,                0.01222,                0.00426,                    nan,                    nan,                    nan,              0.0003987,              0.0003987,              0.0003987
                     25,                    nan,                    nan,                    nan,                0.00661,                    0.1,                0.01649,                0.01104,                    nan,                    nan,                    nan,             0.00037822,             0.00037822,             0.00037822
                     26,                    nan,                    nan,                    nan,                0.00661,                    0.1,                0.01649,                0.01104,                    nan,                    nan,                    nan,             0.00035757,             0.00035757,             0.00035757
                     27,                    nan,                    nan,                    nan,                0.00661,                    0.1,                0.01649,                0.01104,                    nan,                    nan,                    nan,             0.00033684,             0.00033684,             0.00033684
                     28,                    nan,                    nan,                    nan,                0.00816,                    0.1,                0.01498,                0.00854,                    nan,                    nan,                    nan,              0.0003161,              0.0003161,              0.0003161
                     29,                    nan,                    nan,                    nan,                0.00816,                    0.1,                0.01498,                0.00854,                    nan,                    nan,                    nan,             0.00029545,             0.00029545,             0.00029545
                     30,                    nan,                    nan,                    nan,                0.00816,                    0.1,                0.01498,                0.00854,                    nan,                    nan,                    nan,             0.00027497,             0.00027497,             0.00027497
                     31,                    nan,                    nan,                    nan,                0.00777,                    0.1,                0.02179,                0.01542,                    nan,                    nan,                    nan,             0.00025473,             0.00025473,             0.00025473
                     32,                    nan,                    nan,                    nan,                0.00777,                    0.1,                0.02179,                0.01542,                    nan,                    nan,                    nan,             0.00023481,             0.00023481,             0.00023481
                     33,                    nan,                    nan,                    nan,                0.00495,                0.07222,                0.01482,                 0.0059,                    nan,                    nan,                    nan,             0.00021529,             0.00021529,             0.00021529
                     34,                    nan,                    nan,                    nan,                0.00495,                0.07222,                0.01482,                 0.0059,                    nan,                    nan,                    nan,             0.00019626,             0.00019626,             0.00019626
                     35,                    nan,                    nan,                    nan,                0.00495,                0.07222,                0.01482,                 0.0059,                    nan,                    nan,                    nan,             0.00017778,             0.00017778,             0.00017778
                     36,                    nan,                    nan,                    nan,                0.00426,                   0.05,                0.01886,                0.00498,                    nan,                    nan,                    nan,             0.00015992,             0.00015992,             0.00015992
                     37,                    nan,                    nan,                    nan,                0.00426,                   0.05,                0.01886,                0.00498,                    nan,                    nan,                    nan,             0.00014277,             0.00014277,             0.00014277
                     38,                    nan,                    nan,                    nan,                0.00426,                   0.05,                0.01886,                0.00498,                    nan,                    nan,                    nan,             0.00012638,             0.00012638,             0.00012638
