epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3228,1.50626,3.6641,1.56836,0.00119,1,0.41312,0.20943,1.06473,13.3415,1.15403,0.000653333,0.000653333,0.000653333
2,18.6575,1.54994,3.09325,1.55281,0.16593,0.20726,0.12471,0.03936,1.53111,12.0436,2.54936,0.00129386,0.00129386,0.00129386
3,27.1857,1.69384,3.16948,1.63116,0.03482,0.58333,0.10569,0.03091,1.83506,256.29,3.66698,0.00190799,0.00190799,0.00190799
4,35.5324,1.76185,2.82777,1.66803,0.08845,0.54167,0.26145,0.08817,1.63475,108.099,2.79493,0.0018812,0.0018812,0.0018812
5,43.899,1.70493,2.84975,1.58677,0.27148,0.5,0.33879,0.14121,1.51174,69.1775,2.24282,0.0018416,0.0018416,0.0018416
6,52.1519,1.74807,2.61447,1.63541,0.39808,0.45833,0.40001,0.1934,1.121,21.507,1.33564,0.001802,0.001802,0.001802
7,60.7216,1.64463,2.37227,1.65786,0.0182,0.5,0.01378,0.00493,2.28394,78.3727,5.38633,0.0017624,0.0017624,0.0017624
8,69.2155,1.64584,2.30269,1.61632,0.3766,0.45833,0.44086,0.26806,1.17619,9.1119,1.34395,0.0017228,0.0017228,0.0017228
9,77.6689,1.5507,2.03562,1.45424,0.87266,0.41667,0.61855,0.32722,1.25725,7.24822,1.31785,0.0016832,0.0016832,0.0016832
10,86.4111,1.60257,2.24525,1.5431,0.81588,0.33333,0.48963,0.27635,1.2479,4.52836,1.32563,0.0016436,0.0016436,0.0016436
11,95.1028,1.57486,1.98309,1.57224,0.45966,0.5,0.44511,0.21443,1.15016,14.2111,1.44795,0.001604,0.001604,0.001604
12,103.499,1.3452,1.87555,1.38796,0.7007,0.58333,0.70606,0.40099,1.09043,5.94947,1.33263,0.0015644,0.0015644,0.0015644
13,111.767,1.35933,1.72453,1.44215,0.62323,0.82722,0.71802,0.3894,1.05491,3.70632,1.19324,0.0015248,0.0015248,0.0015248
14,120.176,1.4107,1.73372,1.46783,0.71812,0.75,0.78255,0.45272,1.1176,7.05408,1.18712,0.0014852,0.0014852,0.0014852
15,128.52,1.41479,1.8803,1.44915,0.70692,0.7037,0.78791,0.49054,1.29664,4.29574,1.58021,0.0014456,0.0014456,0.0014456
16,136.882,1.32117,1.70966,1.44191,0.55483,0.66667,0.67682,0.40439,1.08876,4.82031,1.19334,0.001406,0.001406,0.001406
17,145.222,1.31805,1.56381,1.35526,0.83955,0.58333,0.74805,0.39191,1.07925,6.06052,1.15306,0.0013664,0.0013664,0.0013664
