                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6667,                  4.214,                 1.4384,                0.00261,                0.11111,                0.05065,                0.04558,                 1.4693,                 4.0905,                 1.3913,              1.334e-05,              1.334e-05,              1.334e-05
                      2,                 1.5919,                 4.2578,                 1.4305,                0.00261,                0.11111,                0.07828,                0.07045,                 1.4219,                  4.087,                 1.3631,             3.3346e-05,             3.3346e-05,             3.3346e-05
                      3,                 1.4079,                 4.0916,                 1.3257,                0.00281,                0.11111,                0.11056,                 0.0995,                 1.3586,                 4.0832,                 1.3278,             5.3337e-05,             5.3337e-05,             5.3337e-05
                      4,                 1.3539,                 3.9912,                 1.2581,                0.00313,                0.11111,                0.11056,                0.10229,                 1.3333,                 4.0835,                 1.3049,             7.3298e-05,             7.3298e-05,             7.3298e-05
                      5,                 1.3078,                 3.8843,                 1.2694,                0.00337,                0.11111,                0.11056,                0.10229,                 1.2953,                 4.0755,                 1.2836,             9.3218e-05,             9.3218e-05,             9.3218e-05
                      6,                 1.2562,                 3.7061,                 1.2067,                0.00473,                0.13333,                0.11121,                0.10419,                 1.2523,                 4.0452,                 1.2573,             0.00011308,             0.00011308,             0.00011308
                      7,                 1.2472,                 3.5516,                 1.1837,                0.00671,                0.17778,                0.11382,                 0.1013,                 1.2272,                 4.0293,                 1.2243,             0.00013288,             0.00013288,             0.00013288
                      8,                 1.3079,                 3.3506,                 1.2746,                0.00941,                0.22222,                0.13271,                0.10762,                 1.1851,                 4.0066,                 1.1959,              0.0001526,              0.0001526,              0.0001526
                      9,                 1.1934,                 3.1367,                 1.2251,                0.00993,                0.22222,                0.17111,                0.12318,                 1.1284,                 3.9589,                 1.1687,             0.00017222,             0.00017222,             0.00017222
                     10,                 1.2374,                 2.9554,                 1.2268,                0.00959,                0.22222,                0.19889,                0.13642,                 1.1088,                 3.9052,                 1.1531,             0.00019173,             0.00019173,             0.00019173
                     11,                 1.3016,                  2.679,                 1.2291,                 0.0146,                0.28889,                0.20535,                0.14362,                 1.1059,                 3.8192,                 1.1381,             0.00021113,             0.00021113,             0.00021113
                     12,                 1.1841,                 2.4399,                 1.2095,                0.01801,                0.33333,                0.19562,                0.14744,                 1.0792,                  3.706,                 1.1268,              0.0002304,              0.0002304,              0.0002304
                     13,                 1.2593,                 2.2437,                    1.2,                0.02073,                0.51389,                0.24607,                 0.1883,                 1.0784,                 3.5555,                 1.1702,             0.00024952,             0.00024952,             0.00024952
                     14,                 1.2752,                 2.2187,                 1.2033,                0.98716,                0.11111,                0.51557,                0.36858,                 1.1106,                 3.3295,                 1.2412,             0.00026848,             0.00026848,             0.00026848
                     15,                 1.2585,                 1.9978,                 1.2216,                0.98716,                0.11111,                0.51557,                0.36858,                 1.1106,                 3.3295,                 1.2412,             0.00028728,             0.00028728,             0.00028728
                     16,                 1.1782,                 1.8633,                 1.0882,                0.98347,                0.11111,                0.59962,                0.42291,                 1.1485,                 3.0264,                 1.2824,              0.0003059,              0.0003059,              0.0003059
                     17,                 1.1197,                 1.6499,                  1.231,                0.86996,                0.11111,                0.67374,                0.45105,                 1.1592,                 2.7826,                 1.2973,             0.00032432,             0.00032432,             0.00032432
                     18,                 1.1779,                 1.6329,                 1.2232,                0.86996,                0.11111,                0.67374,                0.45105,                 1.1592,                 2.7826,                 1.2973,             0.00034254,             0.00034254,             0.00034254
                     19,                 1.1225,                 1.5082,                   1.12,                0.78237,                0.33333,                0.68581,                0.45952,                 1.1748,                 2.4614,                 1.3202,             0.00036054,             0.00036054,             0.00036054
                     20,                 1.1709,                 1.5928,                 1.1841,                0.84936,                0.46499,                0.74177,                 0.4778,                 1.2317,                  2.321,                 1.3566,             0.00037831,             0.00037831,             0.00037831
                     21,                 1.1369,                 1.4552,                 1.1961,                0.84936,                0.46499,                0.74177,                 0.4778,                 1.2317,                  2.321,                 1.3566,             0.00039584,             0.00039584,             0.00039584
                     22,                 1.1354,                 1.5394,                 1.1231,                0.84385,                0.50998,                0.77875,                0.49661,                 1.2629,                 2.1571,                 1.3945,             0.00041313,             0.00041313,             0.00041313
                     23,                 1.1605,                 1.4118,                 1.1805,                0.84385,                0.50998,                0.77875,                0.49661,                 1.2629,                 2.1571,                 1.3945,             0.00043015,             0.00043015,             0.00043015
                     24,                 1.0806,                 1.4438,                 1.1856,                0.83234,                 0.5215,                0.81726,                0.52212,                 1.3314,                 1.9496,                 1.4416,             0.00044689,             0.00044689,             0.00044689
                     25,                 1.1915,                 1.3231,                 1.1381,                0.83234,                 0.5215,                0.81726,                0.52212,                 1.3314,                 1.9496,                 1.4416,             0.00046336,             0.00046336,             0.00046336
                     26,                 1.0821,                 1.3052,                  1.115,                 0.8146,                0.52088,                0.84757,                0.56361,                 1.2918,                 1.8444,                 1.3695,             0.00047953,             0.00047953,             0.00047953
                     27,                 1.1389,                 1.3156,                 1.1567,                 0.8146,                0.52088,                0.84757,                0.56361,                 1.2918,                 1.8444,                 1.3695,              0.0004954,              0.0004954,              0.0004954
                     28,                 1.1353,                  1.225,                 1.1733,                0.81261,                0.59571,                  0.995,                0.64196,                 1.2317,                 1.8528,                 1.3369,             0.00051095,             0.00051095,             0.00051095
                     29,                 1.0443,                 1.1901,                 1.1494,                0.81261,                0.59571,                  0.995,                0.64196,                 1.2317,                 1.8528,                 1.3369,             0.00052618,             0.00052618,             0.00052618
                     30,                 1.1169,                 1.2515,                 1.1611,                0.81261,                0.59571,                  0.995,                0.64196,                 1.2317,                 1.8528,                 1.3369,             0.00054108,             0.00054108,             0.00054108
                     31,                 1.1638,                 1.1952,                 1.1724,                0.80762,                0.65797,                0.99191,                0.62588,                 1.1833,                 1.7513,                 1.3181,             0.00055563,             0.00055563,             0.00055563
                     32,                 1.1136,                 1.2508,                 1.2362,                0.80762,                0.65797,                0.99191,                0.62588,                 1.1833,                 1.7513,                 1.3181,             0.00056983,             0.00056983,             0.00056983
                     33,                 1.2383,                 1.3678,                 1.3267,                0.74389,                0.77778,                0.98883,                0.63965,                 1.1581,                 1.5099,                 1.3123,             0.00058367,             0.00058367,             0.00058367
                     34,                  1.094,                 1.0995,                 1.1392,                0.74389,                0.77778,                0.98883,                0.63965,                 1.1581,                 1.5099,                 1.3123,             0.00059123,             0.00059123,             0.00059123
                     35,                  1.168,                 1.1352,                 1.1592,                0.74389,                0.77778,                0.98883,                0.63965,                 1.1581,                 1.5099,                 1.3123,             0.00059123,             0.00059123,             0.00059123
                     36,                 1.1429,                 1.1161,                 1.1455,                0.79049,                0.93066,                  0.995,                0.64156,                  1.126,                 1.1936,                 1.3153,             0.00058677,             0.00058677,             0.00058677
                     37,                  1.081,                 1.1282,                  1.168,                0.79049,                0.93066,                  0.995,                0.64156,                  1.126,                 1.1936,                 1.3153,              0.0005822,              0.0005822,              0.0005822
                     38,                 1.1492,                 1.1389,                 1.2599,                0.79049,                0.93066,                  0.995,                0.64156,                  1.126,                 1.1936,                 1.3153,             0.00057751,             0.00057751,             0.00057751
                     39,                 1.2321,                 1.2819,                 1.2787,                 0.8432,                 0.9406,                0.98944,                0.64963,                 1.1694,                0.97842,                 1.3292,             0.00057273,             0.00057273,             0.00057273
                     40,                 1.0327,                 1.1053,                   1.11,                 0.8432,                 0.9406,                0.98944,                0.64963,                 1.1694,                0.97842,                 1.3292,             0.00056784,             0.00056784,             0.00056784
                     41,                 1.1564,                 1.1449,                  1.167,                0.86381,                0.92986,                  0.995,                0.63103,                 1.2025,                0.93088,                 1.3372,             0.00056285,             0.00056285,             0.00056285
                     42,                 1.0402,                   1.07,                 1.1516,                0.86381,                0.92986,                  0.995,                0.63103,                 1.2025,                0.93088,                 1.3372,             0.00055776,             0.00055776,             0.00055776
                     43,                 1.0935,                  1.169,                 1.1553,                0.86381,                0.92986,                  0.995,                0.63103,                 1.2025,                0.93088,                 1.3372,             0.00055257,             0.00055257,             0.00055257
                     44,                 1.0827,                  1.096,                 1.1583,                0.85588,                0.94135,                  0.995,                0.63197,                 1.1429,                 0.9455,                 1.3078,             0.00054729,             0.00054729,             0.00054729
